date,Yield_10Y,Gold_Price_YF,BTC_Price_Speed,M2_Expansion_Speed,USD_Index,Gold_Price_Investing,Open_Interest,BTC_Price
2025-09-01,42.77,3549.39990234375,0.0,0.0,97.77,3592.2,75.0,109243.3
2025-09-02,42.77,3549.39990234375,0.0,0.0,98.4,3592.2,76.0,111218.3
2025-09-03,42.11,3593.199951171875,0.0,0.0,98.14,3635.5,77.0,111716.5
2025-09-04,41.76,3565.800048828125,0.0,0.0,98.35,3606.7,78.0,110712.7
2025-09-05,40.86,3613.199951171875,0.0,0.0,97.77,3624.375,79.0,110652.2
2025-09-06,40.72666666666667,3621.5,0.0,0.0,97.66333333333333,3642.05,80.0,110194.4
2025-09-07,40.593333333333334,3629.800048828125,0.0,0.0,97.55666666666667,3659.725,81.0,111150.1
2025-09-08,40.46,3638.10009765625,2.588682522893704,0.0,97.45,3677.4,82.0,112068.4
2025-09-09,40.74,3643.300048828125,0.2754224851292397,0.0,97.79,3682.2,83.0,111516.5
2025-09-10,40.32,3643.60009765625,2.018061565518892,0.0,97.78,3682.0,84.0,113963.5
2025-09-11,40.11,3636.89990234375,4.291323639017741,0.0,97.53,3673.6,85.0,115490.2
2025-09-12,40.61,3649.39990234375,4.8521873172046925,0.0,97.55,3684.95,86.0,116042.8
2025-09-13,40.52,3660.333251953125,5.200495117570458,0.0,97.46666666666667,3696.3,87.0,115924.9
2025-09-14,40.43,3671.2666015625,3.71672562974783,0.0,97.38333333333333,3707.65,88.0,115314.6
2025-09-15,40.34,3682.199951171875,2.930864461706828,0.0,97.3,3719.0,89.0,115362.1
2025-09-16,40.26,3688.89990234375,4.699901090479042,0.0,96.63,3725.1,90.0,116795.9
2025-09-17,40.76,3681.800048828125,2.182862407862407,0.0,96.87,3717.8,91.0,116425.9
2025-09-18,41.04,3643.699951171875,1.3775571040127277,0.0,97.35,3678.3,92.0,117086.0
2025-09-19,41.39,3671.5,-0.3421890758395496,0.0,97.64,3699.125,92.72,115649.0
2025-09-20,41.403333333333336,3694.566650390625,-0.2007103451922787,0.0,97.54,3719.95,93.44,115699.2
2025-09-21,41.416666666666664,3717.63330078125,-0.0309886498430889,0.0,97.44,3740.775,94.17,115243.0
2025-09-22,41.43,3740.699951171875,-2.339598426385292,0.0,97.34,3761.6,94.89,112673.0
2025-09-23,41.2,3780.60009765625,-4.101552064510205,0.0,97.26,3801.8,95.61,112002.6
2025-09-24,41.47,3732.10009765625,-2.696998709891718,0.0,97.87,3753.4,96.33,113307.1
2025-09-25,41.72,3736.89990234375,-6.900825489758445,0.0,98.55,3756.5,97.06,109016.3
