Date,BTC_Price,BTC_Change,Fear_Greed,Bitcoin crash,Liquidation
2025-10-01,118648.9296875,1.7128920845327356,49,3,57
2025-10-02,120681.2578125,1.7128920845327356,64,3,57
2025-10-03,122266.53125,1.3136036748664148,63,3,55
2025-10-04,122425.4296875,0.1299606980548873,71,2,46
2025-10-05,123513.4765625,0.8887425412982486,74,3,47
2025-10-06,124752.53125,1.0031736794915869,71,3,52
2025-10-07,121451.3828125,-2.6461574802715715,70,4,55
2025-10-08,123354.8671875,1.567280940669602,60,3,54
2025-10-09,121705.5859375,-1.3370216251727518,70,3,55
2025-10-10,113214.3671875,-6.976852117831744,64,14,70
2025-10-11,110807.8828125,-2.125599811033263,27,50,100
2025-10-12,115169.765625,3.9364372838716077,24,62,85
2025-10-13,115271.078125,0.0879679657679322,38,31,71
2025-10-14,113118.6640625,-1.8672628880645359,38,14,66
2025-10-15,110783.1640625,-2.064646024028005,34,10,69
