variable,coefficient,intercept,r2,r_value,p_value,mae,rmse
tone_neg_share,-13000.630779596315,119393.32449963101,0.1067040667445266,-0.3266558842949668,0.0396614916692936,2951.6183098266547,3698.090195847451
tone_mean,1513.0547885033318,113525.81921721678,0.09653691618209059,0.3107039043560457,0.051015372692529266,2955.3518499419883,3719.0757721270743
tone_pos_share,10876.79085393584,107879.13060098464,0.06719924066444938,0.2592281633319372,0.10625404647964028,2917.986554532769,3778.9771539615413
sentiment_mean,-1904.4097972723273,112328.41068414795,0.010882202293283516,-0.10431779471060293,0.5217864895863804,3059.3110516302895,3891.3816721849394
sentiment_median,-656.2551305874917,112469.71379081497,0.008610032118346544,-0.09279025874705958,0.5690312263818652,3097.008292560903,3895.8486878410063
sentiment_std,-1447.650773740156,113837.73896264962,0.0016179123239807858,-0.040223280870412416,0.8053515755763835,3114.537436291751,3909.56295767439
