node,degree,betweenness,closeness
sns_post_count,0.6666666666666666,0.1216326530612245,0.6521739130434783
Open_Interest,0.6,0.04575963718820862,0.625
BTC_Price_Speed,0.5333333333333333,0.06494331065759637,0.6
tone_neg_share,0.5333333333333333,0.2290702947845805,0.6818181818181818
tone_mean,0.4666666666666667,0.00380952380952381,0.5555555555555556
tone_pos_share,0.4666666666666667,0.00380952380952381,0.5555555555555556
BTC_Price,0.4,0.0,0.5357142857142857
Yield_10Y,0.4,0.012244897959183676,0.5555555555555556
theme_cnt__GENERAL_GOVERNMENT,0.4,0.16000000000000003,0.5357142857142857
M2SL,0.3333333333333333,0.07578231292517008,0.6
USD_Index,0.3333333333333333,0.08625850340136056,0.6
theme_cnt__LEADER,0.3333333333333333,0.1871655328798186,0.5769230769230769
theme_cnt__ECON_BITCOIN,0.26666666666666666,0.0,0.42857142857142855
theme_cnt__EPU_POLICY,0.26666666666666666,0.0,0.42857142857142855
theme_cnt__ECON_STOCKMARKET,0.26666666666666666,0.0,0.42857142857142855
sns_engagement_total,0.13333333333333333,0.0,0.4166666666666667
