variable,standardized_coefficient,original_coefficient,intercept
M2SL,4241.5056833554645,98.76777042835408,113596.46065573799
Yield_10Y,2223.3515831602135,3012.9005027277435,113596.46065573799
USD_Index,-3740.5917718451487,-5288.064668913046,113596.46065573799
