date,Open_Interest,OI_change_pct,OI_change_abs,BTC_Price,price_change_pct,price_volatility,OI_spike_up,OI_spike_down,OI_anomaly
2025-09-01,75.0,,,109243.3,,,False,False,False
2025-09-02,76.0,1.333333333333342,1.0,111218.3,1.8078911933271824,1.8078911933271824,False,False,False
2025-09-03,77.0,1.3157894736842035,1.0,111716.5,0.44794786469493086,0.44794786469493086,False,False,False
2025-09-04,78.0,1.298701298701288,1.0,110712.7,-0.8985243898618434,0.8985243898618434,False,False,False
2025-09-05,79.0,1.2820512820512775,1.0,110652.2,-0.05464594396126232,0.05464594396126232,False,False,False
2025-09-06,80.0,1.2658227848101333,1.0,110194.4,-0.4137287826179725,0.4137287826179725,False,False,False
2025-09-07,81.0,1.2499999999999956,1.0,111150.1,0.8672854518922968,0.8672854518922968,False,False,False
2025-09-08,82.0,1.2345679012345734,1.0,112068.4,0.8261800934052044,0.8261800934052044,False,False,False
2025-09-09,83.0,1.2195121951219523,1.0,111516.5,-0.4924671004493675,0.4924671004493675,False,False,False
2025-09-10,84.0,1.2048192771084265,1.0,113963.5,2.194294117910811,2.194294117910811,False,False,False
2025-09-11,85.0,1.1904761904761862,1.0,115490.2,1.339639445962959,1.339639445962959,False,False,False
2025-09-12,86.0,1.17647058823529,1.0,116042.8,0.47848215692760654,0.47848215692760654,False,False,False
2025-09-13,87.0,1.1627906976744207,1.0,115924.9,-0.10160044397412582,0.10160044397412582,False,False,False
2025-09-14,88.0,1.1494252873563315,1.0,115314.6,-0.5264615281100005,0.5264615281100005,False,False,False
2025-09-15,89.0,1.1363636363636465,1.0,115362.1,0.04119166176703715,0.04119166176703715,False,False,False
2025-09-16,90.0,1.1235955056179803,1.0,116795.9,1.2428691918749735,1.2428691918749735,False,False,False
2025-09-17,91.0,1.1111111111111072,1.0,116425.9,-0.3167919421829035,0.3167919421829035,False,False,False
2025-09-18,92.0,1.098901098901095,1.0,117086.0,0.5669700642211062,0.5669700642211062,False,False,False
2025-09-19,92.72,0.782608695652165,0.7199999999999989,115649.0,-1.2273030080453662,1.2273030080453662,False,False,False
2025-09-20,93.44,0.7765314926660993,0.7199999999999989,115699.2,0.043407206287993105,0.043407206287993105,False,False,False
2025-09-21,94.17,0.78125,0.730000000000004,115243.0,-0.3942983183980453,0.3942983183980453,False,False,False
2025-09-22,94.89,0.7645747053201646,0.7199999999999989,112673.0,-2.23007037303784,2.23007037303784,False,False,False
2025-09-23,95.61,0.7587733164716948,0.7199999999999989,112002.6,-0.5949961392702763,0.5949961392702763,False,False,False
2025-09-24,96.33,0.7530593034201338,0.7199999999999989,113307.1,1.1647051050600599,1.1647051050600599,False,False,False
2025-09-25,97.06,0.7578116889857878,0.730000000000004,109016.3,-3.786876550542728,3.786876550542728,False,False,False
2025-09-26,97.78,0.7418091901916224,0.7199999999999989,109662.2,0.5924802070882862,0.5924802070882862,False,False,False
2025-09-27,98.5,0.7363469012067858,0.7199999999999989,109652.8,-0.00857177769549855,0.00857177769549855,False,False,False
2025-09-28,99.22,0.7309644670050686,0.7199999999999989,112174.6,2.299804473757172,2.299804473757172,False,False,False
2025-09-29,99.94,0.7256601491634651,0.7199999999999989,114357.5,1.9459842067633737,1.9459842067633737,False,False,False
2025-09-30,100.67,0.7304382629577777,0.730000000000004,114048.5,-0.27020527731018706,0.27020527731018706,False,False,False
2025-10-01,101.39,0.7152081056918558,0.7199999999999989,118576.2,3.96997768493228,3.96997768493228,False,False,False
2025-10-02,102.11,0.7101292040635254,0.7199999999999989,120566.1,1.678161384831034,1.678161384831034,False,False,False
2025-10-03,102.83,0.7051219273332743,0.7199999999999989,122224.2,1.3752622005688053,1.3752622005688053,False,False,False
2025-10-04,103.56,0.7099095594670812,0.730000000000004,122387.1,0.13327966147458348,0.13327966147458348,False,False,False
2025-10-05,104.28,0.6952491309385911,0.7199999999999989,123475.5,0.8893094125116185,0.8893094125116185,False,False,False
2025-10-06,105.0,0.690448791714604,0.7199999999999989,124725.1,1.0120226279707323,1.0120226279707323,False,False,False
2025-10-07,104.5,-0.4761904761904745,-0.5,121356.6,-2.7007394662341366,2.7007394662341366,False,False,False
2025-10-08,104.0,-0.4784688995215336,-0.5,123311.1,1.6105428134934652,1.6105428134934652,False,False,False
2025-10-09,103.5,-0.48076923076922906,-0.5,121666.3,-1.3338620772987975,1.3338620772987975,False,False,False
2025-10-10,100.0,-3.3816425120772986,-3.5,112878.6,-7.222788890596654,7.222788890596654,False,False,False
2025-10-11,68.0,-31.999999999999996,-32.0,110671.5,-1.955286475913065,1.955286475913065,False,True,True
2025-10-12,67.9,-0.14705882352940014,-0.09999999999999432,114986.0,3.898474313621847,3.898474313621847,False,False,False
2025-10-13,67.8,-0.14727540500737435,-0.10000000000000853,115174.8,0.16419390186632743,0.16419390186632743,False,False,False
2025-10-14,67.7,-0.1474926253687281,-0.09999999999999432,113030.8,-1.861518318243227,1.861518318243227,False,False,False
2025-10-15,67.6,-0.1477104874446189,-0.10000000000000853,110767.4,-2.0024630454708037,2.0024630454708037,False,False,False
2025-10-16,67.5,-0.14792899408283544,-0.09999999999999432,108204.8,-2.3134965702905297,2.3134965702905297,False,False,False
2025-10-17,67.4,-0.1481481481481417,-0.09999999999999432,106443.5,-1.6277466434021393,1.6277466434021393,False,False,False
2025-10-18,67.3,-0.14836795252226587,-0.10000000000000853,107193.5,0.7045991535415519,0.7045991535415519,False,False,False
2025-10-19,67.2,-0.14858841010400026,-0.09999999999999432,108658.2,1.3664074780653568,1.3664074780653568,False,False,False
2025-10-20,67.1,-0.14880952380953438,-0.10000000000000853,110544.0,1.735533995593519,1.735533995593519,False,False,False
2025-10-21,67.0,-0.14903129657226621,-0.09999999999999432,108340.9,-1.9929620784484015,1.9929620784484015,False,False,False
2025-10-22,66.9,-0.14925373134327957,-0.09999999999999432,107587.5,-0.6953975829995795,0.6953975829995795,False,False,False
2025-10-23,66.8,-0.1494768310911887,-0.10000000000000853,110078.9,2.3156965260834106,2.3156965260834106,False,False,False
2025-10-24,66.7,-0.1497005988023825,-0.09999999999999432,111013.1,0.84866400372825,0.84866400372825,False,False,False
2025-10-25,66.6,-0.14992503748126884,-0.10000000000000853,111646.1,0.5702029760451754,0.5702029760451754,False,False,False
2025-10-26,66.5,-0.15015015015014122,-0.09999999999999432,114550.9,2.601792628672195,2.601792628672195,False,False,False
2025-10-27,66.4,-0.15037593984961184,-0.09999999999999432,114108.0,-0.38664034939925873,0.38664034939925873,False,False,False
2025-10-28,66.3,-0.1506024096385672,-0.10000000000000853,112905.8,-1.0535632909173698,1.0535632909173698,False,False,False
2025-10-29,66.2,-0.15082956259425684,-0.09999999999999432,110024.6,-2.5518618175505603,2.5518618175505603,False,False,False
2025-10-30,66.1,-0.15105740181270422,-0.10000000000000853,108320.1,-1.5491989973151488,1.5491989973151488,False,False,False
2025-10-31,66.0,-0.1512859304084624,-0.09999999999999432,109602.8,1.1841754208129496,1.1841754208129496,False,False,False
