keyword,avg_sentiment,count,avg_engagement
crypto,-0.17268693143998226,4507,20.059012672593152
bitcoin,-0.17268693143998226,4507,20.059012672593152
October 2025,-0.17268693143998226,4507,20.059012672593152
market,-0.17268693143998226,4507,20.059012672593152
selloff,-0.23535188216039282,1833,20.208392267798207
panic,-0.23535188216039282,1833,20.208392267798207
dump,-0.23535188216039282,1833,20.208392267798207
crash,-0.23535188216039282,1833,20.208392267798207
bloodbath,-0.23535188216039282,1833,20.208392267798207
manipulation,-0.14212253829321664,914,20.895467160037004
margin call,-0.24389574759945132,729,20.181923522595596
leverage,-0.24389574759945132,729,20.181923522595596
liquidation,-0.24389574759945132,729,20.181923522595596
rekt,-0.24389574759945132,729,20.181923522595596
large holder,-0.08400702987697717,569,20.528358208955225
whale,-0.08400702987697717,569,20.528358208955225
insider,-0.08400702987697717,569,20.528358208955225
coordinated,-0.23797101449275365,345,21.49391727493917
timing,-0.23797101449275365,345,21.49391727493917
suspicious,-0.23797101449275365,345,21.49391727493917
Trump,-0.07034220532319393,263,19.588815789473685
China,-0.07034220532319393,263,19.588815789473685
geopolitical,-0.07034220532319393,263,19.588815789473685
tariff,-0.07034220532319393,263,19.588815789473685
trade war,-0.07034220532319393,263,19.588815789473685
Hyperliquid,-0.31411764705882356,170,19.826923076923077
Binance,-0.31411764705882356,170,19.826923076923077
outage,-0.31411764705882356,170,19.826923076923077
exchange,-0.31411764705882356,170,19.826923076923077
down,-0.31411764705882356,170,19.826923076923077
bankruptcy,-0.24166666666666667,108,19.375
devastated,-0.24166666666666667,108,19.375
lost,-0.24166666666666667,108,19.375
ruined,-0.24166666666666667,108,19.375
savings,-0.24166666666666667,108,19.375
